*      tel     crystal    normalization         gradient 
         0           0       0.00645394        1.499e-06
         0           1       0.00654352      1.65469e-06
         0           2       0.00675489      1.76177e-06
         0           3        0.0066274      1.37884e-06
         1           0       0.00675387      1.94355e-06
         1           1       0.00662669       1.6389e-06
         1           2       0.00679368      2.12892e-06
         1           3       0.00651025      1.84479e-06
         2           0       0.00652412      2.08735e-06
         2           1       0.00608717      1.76207e-06
         2           2       0.00674406       2.0737e-06
         2           3       0.00653126      2.04791e-06
         3           0       0.00670288      2.44984e-06
         3           1       0.00693133      2.07958e-06
         3           2       0.00485101       2.8101e-06
         3           3       0.00676382      1.92889e-06
         4           0       0.00627047      1.53504e-06
         4           1       0.00631878      1.45721e-06
         4           2       0.00702621      1.68435e-06
         4           3       0.00682558      1.72987e-06
         5           0       0.00664972       1.4532e-06
         5           1        0.0077011      1.90036e-06
         5           2       0.00836715      1.98437e-06
         5           3        0.0114225      8.11149e-07
         6           0       0.00631157      1.80725e-06
         6           1       0.00677244      1.91791e-06
         6           2       0.00662306      2.26845e-06
         6           3       0.00639494      1.87676e-06
         7           0       0.00655016      1.68882e-06
         7           1       0.00705258      2.20739e-06
         7           2        0.0070871      2.36132e-06
         7           3       0.00697055      2.16449e-06
         8           0       0.00671094      2.01359e-06
         8           1       0.00690204      2.03232e-06
         8           2       0.00694962      2.21038e-06
         8           3       0.00679239      2.16067e-06
         9           0       0.00649683      2.13285e-06
         9           1       0.00629678      1.56069e-06
         9           2       0.00679759      2.15589e-06
         9           3       0.00713642      1.83533e-06
        10           0       0.00700094      2.44357e-06
        10           1       0.00732932      2.26939e-06
        10           2        0.0077388      2.56312e-06
        10           3        0.0071419      2.72469e-06
        11           0       0.00670661       1.9216e-06
        11           1       0.00702408      2.09319e-06
        11           2       0.00703443       2.0146e-06
        11           3        0.0071058      1.99495e-06
