*num_bar X_Center Y_Center Z_Center //see details in positioninfo_VW.xlsx
VWbar00	167.6212	0.042353	368.921
VWbar01	174.8117	0.042353	363.3935
VWbar02	182.0022	0.042353	357.866
VWbar03	189.1022	0.042353	352.4265
VWbar04	196.2022	0.042353	346.987
VWbar05	203.0502	0.042353	341.272
VWbar06	209.8982	0.042353	335.557
VWbar07	216.8072	0.042353	329.8105
VWbar08	223.7162	0.042353	324.064
VWbar09	230.6647	0.042353	318.56
VWbar10	237.6132	0.042353	313.056
VWbar11	244.5512	0.042353	307.4875
VWbar12	251.4892	0.042353	301.919
VWbar13	258.4857	0.042353	296.3425
VWbar14	265.4822	0.042353	290.766
VWbar15	272.2222	0.042353	284.9665
VWbar16	278.9622	0.042353	279.167
VWbar17	286.1607	0.042353	273.8285
VWbar18	293.3592	0.042353	268.49
VWbar19	300.2312	0.042353	262.764
VWbar20	307.1032	0.042353	257.038
VWbar21	314.1472	0.042353	251.616
VWbar22	321.1912	0.042353	246.194
VWbar23	328.3252	0.042353	240.647
VWbar24	335.4592	0.042353	235.1	 
